frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
263,-1,-1.0 -1.0 -1.0 -1.0,2517.585777282715 2065.2677459716797 2746.9630279541016 2160.0,0,0,0
264,-1,-1.0 -1.0 -1.0 -1.0,2517.424047470093 2065.0761222839355 2746.9259071350098 2160.0,0,0,0
265,-1,-1.0 -1.0 -1.0 -1.0,2517.2623176574707 2064.8844985961914 2746.888786315918 2160.0,0,0,0
266,-1,-1.0 -1.0 -1.0 -1.0,2517.1005878448486 2064.6928749084473 2746.851665496826 2160.0,0,0,0
267,-1,-1.0 -1.0 -1.0 -1.0,2516.9388580322266 2064.501251220703 2746.8145446777344 2160.0,0,0,0
268,-1,-1.0 -1.0 -1.0 -1.0,2516.7771282196045 2064.309627532959 2746.7774238586426 2160.0,0,0,0
269,-1,-1.0 -1.0 -1.0 -1.0,2516.6153984069824 2064.118003845215 2746.740303039551 2160.0,0,0,0
270,-1,-1.0 -1.0 -1.0 -1.0,2516.4536685943604 2063.9263801574707 2746.703182220459 2160.0,0,0,0
271,-1,-1.0 -1.0 -1.0 -1.0,2516.2919387817383 2063.7347564697266 2746.666061401367 2160.0,0,0,0
272,-1,-1.0 -1.0 -1.0 -1.0,2516.130208969116 2063.5431327819824 2746.6289405822754 2160.0,0,0,0
273,-1,-1.0 -1.0 -1.0 -1.0,2515.968479156494 2063.3515090942383 2746.5918197631836 2160.0,0,0,0
274,-1,-1.0 -1.0 -1.0 -1.0,2515.806749343872 2063.159885406494 2746.554698944092 2160.0,0,0,0
275,-1,-1.0 -1.0 -1.0 -1.0,2515.64501953125 2062.96826171875 2746.517578125 2160.0,0.660308301448822,LM13VCV,0.2731777233217569
276,-1,-1.0 -1.0 -1.0 -1.0,2524.618896484375 2068.568359375 2742.90185546875 2160.0,0.6513469815254211,LM13VCV,0.8258493596996473
277,-1,-1.0 -1.0 -1.0 -1.0,2524.53466796875 2068.588623046875 2742.89599609375 2160.0,0.6513830423355103,LM13VCV,0.8258493596996473
278,-1,-1.0 -1.0 -1.0 -1.0,2529.98046875 2068.96728515625 2740.004638671875 2160.0,0,0,0
279,-1,-1.0 -1.0 -1.0 -1.0,2535.42626953125 2069.345947265625 2737.11328125 2160.0,0.5297455191612244,LM13VCV,0.6931602710666022
280,-1,-1.0 -1.0 -1.0 -1.0,2548.585693359375 2075.553955078125 2751.494384765625 2160.0,0.4787675142288208,LM13VCV,0.3702862001540347
281,-1,-1.0 -1.0 -1.0 -1.0,2547.510074764103 2075.454768985897 2750.729484260856 2159.9736042765826,0,0,0
282,-1,-1.0 -1.0 -1.0 -1.0,2546.4344561688313 2075.3555828936687 2749.9645837560874 2159.9472085531656,0,0,0
283,-1,-1.0 -1.0 -1.0 -1.0,2545.3588375735594 2075.2563968014406 2749.199683251319 2159.9208128297482,0,0,0
284,-1,-1.0 -1.0 -1.0 -1.0,2544.2832189782876 2075.1572107092124 2748.4347827465504 2159.8944171063313,0,0,0
